file,subset,frame_tp,frame_fp,frame_fn,frameF0_tp,frameF0_fp,frameF0_fn,frame_tdr_num,frame_tdr_den,note_p,note_r,note_f1,noteF0_p,noteF0_r,noteF0_f1,note_tdr
04_Rock1-130-A_comp_02.npz,comp,478,68,201,478,68,183,478.0,478.0,0.8536585365853658,0.7094594594594594,0.7749077490774908,0.8536585365853658,0.7342657342657343,0.7894736842105263,1.0
05_Funk1-114-Ab_solo_02.npz,solo,89,44,28,89,44,28,89.0,89.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0
00_Jazz2-110-Bb_comp_00.npz,comp,1034,263,249,1034,263,249,1034.0,1034.0,0.7831858407079646,0.815668202764977,0.7990970654627539,0.7831858407079646,0.815668202764977,0.7990970654627539,1.0
05_BN3-154-E_comp_00.npz,comp,493,25,49,493,25,49,493.0,493.0,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9743589743589743,0.8837209302325582,0.926829268292683,1.0
01_Jazz1-200-B_solo_00.npz,solo,149,22,12,149,22,12,149.0,149.0,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.8928571428571429,0.9259259259259259,0.9090909090909091,1.0
02_BN1-147-Gb_solo_01.npz,solo,173,6,19,173,6,19,173.0,173.0,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9761904761904762,0.9111111111111111,0.9425287356321839,1.0
00_Jazz2-110-Bb_solo_03.npz,solo,364,22,18,364,22,18,364.0,364.0,0.9253731343283582,0.9393939393939394,0.9323308270676691,0.9253731343283582,0.9393939393939394,0.9323308270676691,1.0
01_Jazz3-150-C_solo_03.npz,solo,221,16,18,221,16,18,221.0,221.0,0.7758620689655172,0.8181818181818182,0.7964601769911505,0.7758620689655172,0.8181818181818182,0.7964601769911505,1.0
01_BN3-119-G_comp_03.npz,comp,548,23,27,548,23,27,548.0,548.0,0.8898305084745762,0.9459459459459459,0.9170305676855895,0.8898305084745762,0.9459459459459459,0.9170305676855895,1.0
04_Funk3-98-A_solo_02.npz,solo,269,20,11,269,20,11,269.0,269.0,0.9347826086956522,0.9772727272727273,0.9555555555555556,0.9347826086956522,0.9772727272727273,0.9555555555555556,1.0
04_SS1-68-E_comp_02.npz,comp,2907,244,184,2841,185,138,2907.0,2841.0,0.9253731343283582,0.9422492401215805,0.9337349397590361,0.953125,0.9591194968553459,0.9561128526645768,1.0163934426229508
03_BN1-129-Eb_solo_00.npz,solo,194,14,16,194,14,16,194.0,194.0,0.9555555555555556,0.9148936170212766,0.9347826086956522,0.9555555555555556,0.9148936170212766,0.9347826086956522,1.0
01_Jazz1-200-B_comp_02.npz,comp,344,38,100,344,32,100,344.0,344.0,0.9016393442622951,0.7857142857142857,0.8396946564885496,0.9016393442622951,0.7857142857142857,0.8396946564885496,1.0
03_BN1-129-Eb_comp_01.npz,comp,661,76,19,661,76,19,661.0,661.0,0.8625,0.9787234042553191,0.9169435215946844,0.8625,0.9787234042553191,0.9169435215946844,1.0
01_BN3-154-E_comp_03.npz,comp,558,120,107,579,92,86,558.0,579.0,0.8271604938271605,0.8170731707317073,0.8220858895705522,0.8695652173913043,0.8536585365853658,0.8615384615384616,0.9571428571428572
05_SS1-68-E_solo_00.npz,solo,305,140,49,305,140,49,305.0,305.0,0.64,0.8,0.7111111111111111,0.64,0.8,0.7111111111111111,1.0
02_Rock1-90-C#_solo_02.npz,solo,472,40,54,478,34,48,472.0,478.0,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922,1.0
01_Jazz3-150-C_comp_00.npz,comp,237,55,45,237,55,45,237.0,237.0,0.9,0.863013698630137,0.8811188811188811,0.9,0.863013698630137,0.8811188811188811,1.0
00_Jazz2-110-Bb_comp_02.npz,comp,1220,204,116,1220,204,116,1220.0,1220.0,0.8775510204081632,0.9513274336283186,0.9129511677282378,0.8775510204081632,0.9513274336283186,0.9129511677282378,1.0
01_Funk2-119-G_comp_03.npz,comp,330,109,60,330,109,60,330.0,330.0,0.6868686868686869,0.8395061728395061,0.7555555555555555,0.6868686868686869,0.8395061728395061,0.7555555555555555,1.0
03_Funk1-114-Ab_comp_02.npz,comp,585,60,105,585,60,105,585.0,585.0,0.8211382113821138,0.7890625,0.8047808764940239,0.8211382113821138,0.7890625,0.8047808764940239,1.0
03_Rock1-130-A_solo_00.npz,solo,128,51,4,128,44,4,128.0,128.0,0.6923076923076923,0.9310344827586207,0.7941176470588235,0.7297297297297297,0.9310344827586207,0.8181818181818182,1.0
01_Jazz1-200-B_comp_00.npz,comp,398,29,79,398,29,79,398.0,398.0,0.8943661971830986,0.8639455782312925,0.8788927335640139,0.8943661971830986,0.8639455782312925,0.8788927335640139,1.0
03_Funk2-108-Eb_comp_02.npz,comp,700,83,68,700,83,68,700.0,700.0,0.8962962962962963,0.8768115942028986,0.8864468864468864,0.8962962962962963,0.8768115942028986,0.8864468864468864,1.0
01_Jazz1-200-B_solo_01.npz,solo,152,28,32,152,28,32,152.0,152.0,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,1.0
02_BN1-147-Gb_comp_00.npz,comp,595,39,189,595,39,189,595.0,595.0,0.9568345323741008,0.7307692307692307,0.8286604361370716,0.9568345323741008,0.7307692307692307,0.8286604361370716,1.0
02_Rock1-90-C#_comp_02.npz,comp,898,302,274,899,301,248,898.0,899.0,0.6910112359550562,0.7365269461077845,0.7130434782608696,0.6910112359550562,0.75,0.7192982456140351,1.0
01_Funk2-119-G_solo_02.npz,solo,247,32,64,247,32,64,247.0,247.0,0.8666666666666667,0.8387096774193549,0.8524590163934426,0.8666666666666667,0.8387096774193549,0.8524590163934426,1.0
02_BN3-154-E_comp_03.npz,comp,647,88,87,647,88,87,647.0,647.0,0.875,0.8702702702702703,0.8726287262872628,0.875,0.8702702702702703,0.8726287262872628,1.0
01_BN3-154-E_comp_01.npz,comp,546,78,33,546,78,33,546.0,546.0,0.8758169934640523,0.9781021897810219,0.9241379310344827,0.8758169934640523,0.9781021897810219,0.9241379310344827,1.0
04_SS1-68-E_solo_01.npz,solo,441,82,34,431,82,16,441.0,431.0,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.8421052631578947,0.9795918367346939,0.9056603773584906,1.0
03_Jazz3-137-Eb_solo_00.npz,solo,235,11,15,235,11,15,235.0,235.0,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.8928571428571429,0.9615384615384616,0.9259259259259259,1.0
01_Rock1-130-A_solo_02.npz,solo,225,50,50,231,44,37,225.0,231.0,0.8064516129032258,0.847457627118644,0.8264462809917356,0.8225806451612904,0.8793103448275862,0.85,0.9803921568627451
03_Jazz3-137-Eb_comp_03.npz,comp,424,57,146,433,48,137,424.0,433.0,0.8297872340425532,0.6666666666666666,0.7393364928909952,0.8297872340425532,0.6666666666666666,0.7393364928909952,1.0
01_BN3-119-G_comp_00.npz,comp,380,34,38,380,34,38,380.0,380.0,0.9166666666666666,0.9390243902439024,0.927710843373494,0.9166666666666666,0.9390243902439024,0.927710843373494,1.0
01_BN1-129-Eb_solo_00.npz,solo,252,6,7,252,6,7,252.0,252.0,1.0,0.9818181818181818,0.9908256880733946,1.0,0.9818181818181818,0.9908256880733946,1.0
01_Jazz3-150-C_solo_01.npz,solo,215,20,11,215,20,11,215.0,215.0,0.8688524590163934,0.9464285714285714,0.905982905982906,0.8688524590163934,0.9464285714285714,0.905982905982906,1.0
05_SS1-68-E_solo_01.npz,solo,267,76,41,267,76,41,267.0,267.0,0.7567567567567568,0.8,0.7777777777777778,0.7567567567567568,0.8,0.7777777777777778,1.0
04_Funk3-98-A_comp_02.npz,comp,776,143,55,776,143,55,776.0,776.0,0.82,0.9461538461538461,0.8785714285714286,0.82,0.9461538461538461,0.8785714285714286,1.0
03_Rock3-117-Bb_solo_03.npz,solo,372,42,22,372,42,22,372.0,372.0,0.8734177215189873,0.9324324324324325,0.9019607843137255,0.8734177215189873,0.9324324324324325,0.9019607843137255,1.0
05_BN1-129-Eb_comp_02.npz,comp,706,44,50,706,37,50,706.0,706.0,0.8980891719745223,0.94,0.9185667752442996,0.8980891719745223,0.94,0.9185667752442996,1.0
04_BN3-154-E_solo_02.npz,solo,169,34,37,162,33,30,169.0,162.0,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.84,0.875,0.8571428571428571,1.0238095238095237
05_Funk1-114-Ab_comp_00.npz,comp,378,78,78,378,78,78,378.0,378.0,0.8354430379746836,0.8571428571428571,0.8461538461538461,0.8354430379746836,0.8571428571428571,0.8461538461538461,1.0
04_SS1-68-E_comp_01.npz,comp,2662,425,214,2663,424,213,2662.0,2663.0,0.8618618618618619,0.9318181818181818,0.8954758190327613,0.8618618618618619,0.9318181818181818,0.8954758190327613,1.0
04_Funk3-98-A_solo_00.npz,solo,287,21,7,287,21,7,287.0,287.0,0.86,0.9772727272727273,0.9148936170212766,0.86,0.9772727272727273,0.9148936170212766,1.0
01_BN3-154-E_comp_02.npz,comp,442,61,28,442,61,21,442.0,442.0,0.860655737704918,0.9292035398230089,0.8936170212765957,0.860655737704918,0.9375,0.8974358974358975,1.0
04_BN3-154-E_comp_02.npz,comp,110,293,282,110,293,282,110.0,110.0,0.26785714285714285,0.30927835051546393,0.28708133971291866,0.26785714285714285,0.30927835051546393,0.28708133971291866,1.0
02_Rock1-90-C#_solo_01.npz,solo,378,25,26,390,13,14,378.0,390.0,0.9333333333333333,0.9491525423728814,0.9411764705882353,0.9666666666666667,0.9830508474576272,0.9747899159663865,0.9655172413793104
03_Jazz3-137-Eb_comp_02.npz,comp,363,38,25,363,38,25,363.0,363.0,0.8876404494382022,0.9294117647058824,0.9080459770114943,0.8876404494382022,0.9294117647058824,0.9080459770114943,1.0
05_SS1-68-E_comp_00.npz,comp,1440,215,7,1440,215,7,1440.0,1440.0,0.7801047120418848,0.9933333333333333,0.873900293255132,0.7801047120418848,0.9933333333333333,0.873900293255132,1.0
01_BN1-129-Eb_solo_02.npz,solo,256,6,4,256,6,4,256.0,256.0,0.9482758620689655,0.9649122807017544,0.9565217391304348,0.9482758620689655,0.9649122807017544,0.9565217391304348,1.0
05_BN1-129-Eb_solo_00.npz,solo,249,28,9,249,28,9,249.0,249.0,0.8596491228070176,0.9423076923076923,0.8990825688073395,0.8596491228070176,0.9423076923076923,0.8990825688073395,1.0
01_BN3-119-G_comp_02.npz,comp,514,63,33,514,63,33,514.0,514.0,0.8166666666666667,0.9607843137254902,0.8828828828828829,0.8166666666666667,0.9607843137254902,0.8828828828828829,1.0
05_SS1-100-C#_solo_01.npz,solo,219,41,8,219,41,8,219.0,219.0,0.8780487804878049,0.972972972972973,0.9230769230769231,0.8780487804878049,0.972972972972973,0.9230769230769231,1.0
02_BN1-147-Gb_solo_00.npz,solo,240,6,1,240,6,1,240.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03_Jazz3-137-Eb_solo_01.npz,solo,232,10,5,232,10,5,232.0,232.0,0.9074074074074074,0.98,0.9423076923076923,0.9074074074074074,0.98,0.9423076923076923,1.0
05_BN1-129-Eb_solo_02.npz,solo,199,15,47,199,15,47,199.0,199.0,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.8666666666666667,0.7959183673469388,0.8297872340425532,1.0
03_BN1-129-Eb_comp_02.npz,comp,611,48,46,611,48,46,611.0,611.0,0.847682119205298,0.927536231884058,0.8858131487889274,0.847682119205298,0.927536231884058,0.8858131487889274,1.0
03_Rock1-130-A_comp_01.npz,comp,689,297,135,689,297,135,689.0,689.0,0.7058823529411765,0.8323699421965318,0.7639257294429708,0.7058823529411765,0.8323699421965318,0.7639257294429708,1.0
05_Funk1-114-Ab_comp_01.npz,comp,400,97,64,400,97,64,400.0,400.0,0.8064516129032258,0.8522727272727273,0.8287292817679558,0.8064516129032258,0.8522727272727273,0.8287292817679558,1.0
05_SS1-68-E_comp_01.npz,comp,1400,291,23,1400,291,23,1400.0,1400.0,0.7616580310880829,0.9607843137254902,0.8497109826589595,0.7616580310880829,0.9607843137254902,0.8497109826589595,1.0
03_Funk2-108-Eb_comp_01.npz,comp,785,101,81,785,101,81,785.0,785.0,0.922077922077922,0.9281045751633987,0.9250814332247557,0.922077922077922,0.9281045751633987,0.9250814332247557,1.0
05_BN3-154-E_solo_02.npz,solo,120,50,7,120,50,7,120.0,120.0,0.6666666666666666,0.9032258064516129,0.7671232876712328,0.6666666666666666,0.9032258064516129,0.7671232876712328,1.0
01_Funk2-119-G_solo_00.npz,solo,233,20,13,233,20,13,233.0,233.0,0.9387755102040817,0.9583333333333334,0.9484536082474226,0.9387755102040817,0.9583333333333334,0.9484536082474226,1.0
01_BN1-129-Eb_solo_01.npz,solo,174,47,20,174,47,20,174.0,174.0,0.7954545454545454,0.9210526315789473,0.8536585365853658,0.7954545454545454,0.9210526315789473,0.8536585365853658,1.0
01_Jazz1-200-B_solo_02.npz,solo,157,16,38,157,16,38,157.0,157.0,0.8870967741935484,0.859375,0.873015873015873,0.8870967741935484,0.859375,0.873015873015873,1.0
02_Rock1-90-C#_solo_00.npz,solo,413,10,13,413,10,13,413.0,413.0,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,1.0
02_BN3-154-E_comp_00.npz,comp,653,114,99,653,114,99,653.0,653.0,0.8214285714285714,0.875,0.8473684210526315,0.8214285714285714,0.875,0.8473684210526315,1.0
01_BN3-119-G_comp_01.npz,comp,470,46,60,470,46,60,470.0,470.0,0.9393939393939394,0.93,0.9346733668341709,0.9393939393939394,0.93,0.9346733668341709,1.0
01_BN3-154-E_solo_02.npz,solo,370,21,17,370,21,17,370.0,370.0,0.9207920792079208,1.0,0.9587628865979382,0.9207920792079208,1.0,0.9587628865979382,1.0
00_Rock1-130-A_solo_01.npz,solo,394,59,29,394,50,22,394.0,394.0,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.9148936170212766,0.9662921348314607,0.9398907103825137,1.0
01_BN1-129-Eb_comp_02.npz,comp,662,184,20,662,184,20,662.0,662.0,0.7513812154696132,0.9645390070921985,0.84472049689441,0.7513812154696132,0.9645390070921985,0.84472049689441,1.0
05_SS1-100-C#_solo_02.npz,solo,246,97,40,246,94,30,246.0,246.0,0.6727272727272727,0.8809523809523809,0.7628865979381443,0.6727272727272727,0.9024390243902439,0.7708333333333334,1.0
03_Funk1-114-Ab_comp_01.npz,comp,652,96,93,652,96,93,652.0,652.0,0.8769230769230769,0.8142857142857143,0.8444444444444444,0.8769230769230769,0.8142857142857143,0.8444444444444444,1.0
01_Rock1-130-A_comp_00.npz,comp,662,122,51,662,122,51,662.0,662.0,0.8214285714285714,0.9387755102040817,0.8761904761904762,0.8214285714285714,0.9387755102040817,0.8761904761904762,1.0
01_Funk2-119-G_solo_03.npz,solo,179,21,24,179,21,24,179.0,179.0,0.7307692307692307,0.95,0.8260869565217391,0.7307692307692307,0.95,0.8260869565217391,1.0
02_BN3-154-E_solo_03.npz,solo,219,24,34,219,24,34,219.0,219.0,0.7580645161290323,0.8103448275862069,0.7833333333333333,0.7580645161290323,0.8103448275862069,0.7833333333333333,1.0
03_Rock3-117-Bb_solo_02.npz,solo,337,45,48,340,30,36,337.0,340.0,0.9420289855072463,0.8904109589041096,0.9154929577464789,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.9848484848484849
02_Rock1-90-C#_comp_00.npz,comp,706,126,53,706,126,53,706.0,706.0,0.8487394957983193,0.9439252336448598,0.8938053097345132,0.8487394957983193,0.9439252336448598,0.8938053097345132,1.0
05_Funk1-114-Ab_solo_00.npz,solo,141,23,12,141,23,12,141.0,141.0,0.8666666666666667,0.896551724137931,0.8813559322033898,0.8666666666666667,0.896551724137931,0.8813559322033898,1.0
05_SS1-100-C#_solo_00.npz,solo,196,115,1,196,115,1,196.0,196.0,0.6170212765957447,1.0,0.7631578947368421,0.6170212765957447,1.0,0.7631578947368421,1.0
04_SS1-68-E_solo_02.npz,solo,411,49,48,411,41,48,411.0,411.0,0.9056603773584906,0.9230769230769231,0.9142857142857143,0.9056603773584906,0.9230769230769231,0.9142857142857143,1.0
03_BN2-166-Ab_solo_01.npz,solo,152,16,7,152,16,7,152.0,152.0,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.8541666666666666,0.9761904761904762,0.9111111111111111,1.0
01_Funk2-119-G_solo_01.npz,solo,181,13,20,181,13,20,181.0,181.0,0.8260869565217391,0.95,0.8837209302325582,0.8260869565217391,0.95,0.8837209302325582,1.0
01_Jazz3-150-C_comp_01.npz,comp,345,15,21,345,15,21,345.0,345.0,0.9523809523809523,0.898876404494382,0.9248554913294798,0.9523809523809523,0.898876404494382,0.9248554913294798,1.0
03_Funk2-108-Eb_solo_02.npz,solo,209,42,70,212,38,60,209.0,212.0,0.7954545454545454,0.7608695652173914,0.7777777777777778,0.8181818181818182,0.8,0.8089887640449438,0.9722222222222222
03_BN2-166-Ab_solo_02.npz,solo,154,21,24,154,21,24,154.0,154.0,0.875,0.875,0.875,0.875,0.875,0.875,1.0
03_Jazz1-130-D_comp_00.npz,comp,396,24,137,396,24,137,396.0,396.0,0.8901098901098901,0.7570093457943925,0.8181818181818182,0.8901098901098901,0.7570093457943925,0.8181818181818182,1.0
